Name,Location,Category,Bio URL,Since Date,Description,Image URL,Tags,Latitude,Longitude,Status,Video
Ahmed Bebars,"New Jersey, United States",AWS Container Hero,https://aws.amazon.com/developer/community/heroes/ahmed-bebars/?did=dh_card&trk=dh_card,Hero since 2025,"Ahmed is a Principal Engineer at The New York Times, where he leads the design and delivery,...",https://d1.awsstatic.com/getting-started-guides/hero-images-2025/ahmed-bebars-100.d1eb6693748ab716d70f376ac93c2cdda7187445.png,2025|Meetup Organizer|new|namer|3000|2025|New|Trainer / Educator|Open Source Contributor|3000|North America|Blogger|Conference Speaker|AWS Container Hero,40.0757384,-74.4041622,Next up,
Badri Narayanan Kesavan,Singapore,AWS Community Hero,https://aws.amazon.com/developer/community/heroes/badri-kesavan/?did=dh_card&trk=dh_card,Hero since 2025,"Badri is an Engineering Lead and Solutions Architect with over a decade of professional experience,...",https://d1.awsstatic.com/getting-started-guides/hero-images-2025/Badri%20Narayanan%20Kesavan-100.31ef5982037cd5ada858bf1387b82724bf12a73f.png,Meetup Organizer|apac|3000|new|AWS Community Hero|Conference Speaker|Singapore|Asia Pacific|2025|New|2025|3000,1.357107,103.8194992,,
Marcelo Paiva,"Goiânia, Brazil",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/marcelo-paiva/?did=dh_card&trk=dh_card,Hero since 2025,"Marcelo Paiva has over 30 years of experience in technology and is the CTO at Softprime Solu  es, ,...",https://d1.awsstatic.com/getting-started-guides/hero-images-2025/Marcelo%20Paiva-100.4e8e535130658846e9e4215cc9388c286ced7ea7.png,3000|2025|Trainer / Educator|2025|latam|New|Latin America|AWS Community Hero|new|Conference Speaker|Meetup Organizer|3000,-16.680882,-49.2532691,,
Raphael Jambalos,"Quezon City, Philippines",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/raphael-jambalos/?did=dh_card&trk=dh_card,Hero since 2025,Raphael Jambalos manages the Cloud Native development team at eCloudValley Philippines...,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/Raphael%20Jambalos-100.9f843ef8ef3eced9dd7f86e0d5b5ea4b6ae81a16.png,Meetup Organizer|AWS Community Hero|Asia Pacific|Conference Speaker|2025|Blogger|Trainer / Educator|3000|apac|New|new|3000|2025,14.6510546,121.0486254,,
Stav Ochakovski,"Tel Aviv, Israel",AWS Container Hero,https://aws.amazon.com/developer/community/heroes/stav-ochakovski/?did=dh_card&trk=dh_card,Hero since 2025,"Stav Ochakovski is a DevOps Engineer at Beacon and a cybersecurity expert, managing highly scalable multi-cloud ...",https://d1.awsstatic.com/getting-started-guides/hero-images-2025/Stav%20Ochakovski-100.f8a93ae2119bd1dceb2c21b53e57c6ddb3bbbd6b.png,"New|emea|2025|Trainer / Educator|Conference Speaker|new|3000|Meetup Organizer|Europe, Middle East, & Africa|2025|Blogger|3000|AWS Container Hero",32.0852997,34.7818064,,
Aidan Steele,"Melbourne, Australia",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/aidan-steele/?did=dh_card&trk=dh_card,Hero since 2023,"Aidan is an avid AWS user, having first got started on the platform with EC2 in 2008. ...",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/hero_aiden_steele-100.4668a5b9d09dcd0a7ef2dcfb3c58ceecdbcab27c.png,2023|Asia Pacific|AWS Serverless Hero|apac|Open Source Contributor|Blogger,-37.8142454,144.9631732,,
Adam Bien,"Munich, Germany",AWS DevTools Hero,https://aws.amazon.com/developer/community/heroes/adam-bien/?did=dh_card&trk=dh_card,Hero since 2022,"Adam Bien is an independent Architect, Consultant, Developer, Trainer, conference speaker…...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/adam-bien.16bf8ef2fddcf4d76ad43c76fc9a68a71536c33c.png,"AWS DevTools Hero|Trainer / Educator|Europe, Middle East, & Africa|2022|Conference Speaker|Open Source Contributor|Technical Author|Blogger",48.1371079,11.5753822,,
Adam Smolnik,"Zory, Poland",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/adam-smolnik/?did=dh_card&trk=dh_card,Hero since 2015,"Adam Smolnik is a Cloud Architect at HOSTERSI in Rybnik (Poland), a certified AWS Advanced...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/adams-headshotcircle-100px.4c0fdca1ce7f909eebc17392847d9d39a0a53cbb.png,"Trainer / Educator|Europe, Middle East, & Africa|AWS Community Hero|Meetup Organizer|2015|Technical Author|Blogger",50.0388902,18.6806124,,
Agustinus Nalwan,"Melbourne, Australia",AWS Machine Learning Hero,https://aws.amazon.com/developer/community/heroes/agustinus-nalwan/?did=dh_card&trk=dh_card,Hero since 2018,Passionate in technology innovation to make people&#39;s life easier and with over 30 years of...,https://d1.awsstatic.com/Developer%20Marketing/Community%20Heroes/agustinusn-headshotcircle-100px.af65750ce1572b7e46051eb0e62fc5c0f94fa7d0.png,Asia Pacific|Conference Speaker|AWS Machine Learning Hero|2018,-37.8142454,144.9631732,,
Ahmed Samir,"Riyadh, Saudi Arabia",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/ahmed-samir/?did=dh_card&trk=dh_card,Hero since 2020,Ahmed Samir is a Cloud Architect & Mentor with more than 12 years of experience in IT…...,https://d1.awsstatic.com/Developer%20Marketing/developer-center/ahmed-samir.9dc9cc62b957b5d84ddc0c680d37639a389dff88.png,"2020|AWS Community Hero|Europe, Middle East, & Africa|Conference Speaker|Meetup Organizer|Blogger",23.333333,45.333333,,
