Name,Location,URL,Category,Latitude,Longitude
AWS  User Group Timisoara,"Timisoara, Romania",https://www.meetup.com/aws-timisoara,General AWS User Groups,45.7538355,21.2257474
IASI AWS User Group,"Iasi, Romania",https://www.meetup.com/aws-ro/,General AWS User Groups,47.1615598,27.5837814
User Group Tulsa,"Tulsa, OK",https://www.meetup.com/tulsa-aws/,General AWS User Groups,36.1563122,-95.9927516
AWS Abidjan User Group,"Abidjan, Ivory Coast",https://www.meetup.com/groupe-meetup-abidjan-amazon-web-services/,General AWS User Groups,5.320357,-4.016107
AWS Accra,"Accra, Ghana",https://www.meetup.com/aws-accra/,General AWS User Groups,5.5571096,-0.2012376
AWS Amsterdam,"Amsterdam, The Netherlands",https://www.meetup.com/aws-ams/,General AWS User Groups,52.3730796,4.8924534
AWS Arizona,"Phoenix, Arizona, USA",https://www.meetup.com/AWSArizona/,General AWS User Groups,33.4484367,-112.074141
AWS Bath User Group,"Bath, United Kingdom",https://www.meetup.com/AWSBathUserGroup/,General AWS User Groups,51.3813864,-2.3596963
AWS Bilbao,"Bilbao, Spain",https://www.meetup.com/AWS-Bilbao/,General AWS User Groups,43.2630018,-2.9350039
AWS Budapest Community of Practice,"Budapest, Hungary",https://www.meetup.com/AWS-Budapest-CoP/,General AWS User Groups,47.4813896,19.1460941
AWS Bulgaria,"Sofia, Bulgaria",https://www.meetup.com/AWS-Bulgaria/,General AWS User Groups,42.6792938,23.3011089
AWS Cambridge Meetup Group,"Cambridge, United Kingdom",https://www.meetup.com/AWS-Amazon-Web-Services-Cambridge-Meetup-Group/,General AWS User Groups,52.2055314,0.1186637
AWS Charlotte User Group,"Charlotte, North Carolina, USA",https://www.meetup.com/AWS-Charlotte-User-Group/,General AWS User Groups,35.2272086,-80.8430827
AWS Cleveland User Group,"Cleveland, USA",https://www.meetup.com/cleveland-aws-meetup/,General AWS User Groups,41.4996574,-81.6936772
AWS Cloud Security - NoVA,"Arlington, VA, USA",https://www.meetup.com/aws-security-nova/,General AWS User Groups,38.8769326,-77.0893094
AWS Cloud Security User Group West Africa,"Lagos, Nigeria",https://www.meetup.com/aws-cloud-security-user-group-west-africa/,General AWS User Groups,6.4550575,3.3941795
AWS Colombia Bogota,"Bogotá, Colombia",https://www.meetup.com/AWS-Colombia-bogota/,General AWS User Groups,4.7110053,-74.0720857
AWS Dallas,"Dallas, Texas, USA",https://www.meetup.com/AWS-Dallas/,General AWS User Groups,32.7762719,-96.7968559
AWS Data Engineer User Group India,India,https://www.meetup.com/aws-usergroup-data-india/,General AWS User Groups,22.3511148,78.6677428
AWS Dubai,"Dubai, United Arab Emirates",https://www.meetup.com/AWS-Dubai/,General AWS User Groups,25.2277355,55.1749996
AWS Ecuador User Group,"Guayaquil, Ecuador",https://www.meetup.com/aws-ecuador/,General AWS User Groups,-2.1990477,-79.8879772
AWS Frederick Meetup,"Frederick, Maryland, USA",https://www.meetup.com/AWS-Frederick-Meetup/,General AWS User Groups,39.415779,-77.4127562
AWS GO,"‎Goiânia, Brazil",https://www.meetup.com/AWS-GO/,General AWS User Groups,-16.680882,-49.2532691
