Name,Location,Category,Bio URL,Latitude,Longitude
A.T.M Ruhul Amin,"Dhaka, Bangladesh",Front-End Web & Mobile Builder since 2023,https://www.linkedin.com/in/atmruhulamin,23.8202931,90.3710408
Aarfah Ahmad,India,Serverless Builder since 2023,No URL,22.3511148,78.6677428
Aaron Lieberman,"Denver, USA",Serverless Builder since 2021,https://www.linkedin.com/in/aaron-lieberman-8a89bb46/,39.7392364,-104.984862
Aashish AJ Aacharya,"Annapolis, USA",Security Builder since 2024,https://aws-cloudsec.com,38.9786401,-76.492786
Abdel-Aziz BINGUITCHA-FARE,"Lome, Togo",Containers Builder since 2024,https://abdelfare.me,6.130419,1.215829
Abdelahad SATOUR,"Paris, France",Machine Learning Builder since 2024,https://www.ad-satour.com,48.8534951,2.3483915
Abdelrazek Rizk,"Alexandria, Egypt",Containers Builder since 2023,https://www.linkedin.com/in/abdelrazek-rizk/,31.1991806,29.8951716
Abdie Mohamed,"Atlanta, USA",Security Builder since 2023,https://www.linkedin.com/in/abdie-mohamed-3a8684140,33.7489924,-84.3902644
Abdul Hakim,Indonesia,Cloud Operations Builder since 2023,https://www.linkedin.com/in/ahakimx/,-2.4833826,117.8902853
Abdul Mannan,"Dubai, United Arab Emirates",Machine Learning Builder since 2022,https://www.linkedin.com/in/abdul-mannan-63b72a32/,25.2277355,55.1749996
Abdul Raheem,"Lahore, Pakistan",Machine Learning Builder since 2023,https://www.linkedin.com/in/xfarooqi/,31.5656822,74.3141829
Abdulla Mohamoud,"Cardiff, United Kingdom",Dev Tools Builder since 2022,https://www.linkedin.com/in/abdulla-mohamoud,51.4816546,-3.1791934
Abdullah Ayad,"Kafr El Sheikh, Egypt",Machine Learning Builder since 2022,https://www.linkedin.com/in/a00ayad00,31.3814765,30.8513566
Abdullah Ch,"Lahore, Pakistan",Front-End Web & Mobile Builder since 2021,https://www.linkedin.com/in/abdullah-ch/,31.5656822,74.3141829
Abdullah Paracha,"Islamabad, Pakistan",Data Builder since 2021,https://www.instagram.com/eamaaypee/,33.6938118,73.0651511
Abdulrazak Othman,"Riyadh, Saudi Arabia",Data Builder since 2023,https://www.linkedin.com/in/iimrx/,23.333333,45.333333
Abel López,"Chihuahua, México",Containers Builder since 2023,https://www.linkedin.com/in/abelopz/,28.5000001,-106.0000001
Abhijit Ghosh,"Kolkata, India",Serverless Builder since 2024,https://www.linkedin.com/in/abhijitghosh,22.5726459,88.3638953
